latitude,longitude,result
51.563658,7.059207,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.563541,7.059243,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.563418,7.059281,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.563291,7.059323,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.563161,7.059367,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.563022,7.059411,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.562880,7.059456,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.562732,7.059499,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.562581,7.059539,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.562429,7.059571,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.562268,7.059597,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.562106,7.059620,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.561938,7.059641,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.561768,7.059649,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.561595,7.059653,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.561418,7.059649,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.561245,7.059639,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.561077,7.059627,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
